Time Stamp,Event
2021-12-17T18:57:46-06:00,Event
2021-12-17T19:06:27-06:00,Recieved connect error 
2021-12-17T19:06:32-06:00,Recieved connect error 
2021-12-17T19:06:38-06:00,Recieved connect error 
2021-12-17T19:06:45-06:00,Recieved connect error 
2021-12-17T19:06:54-06:00,Recieved connect error 
2021-12-17T19:07:03-06:00,Recieved connect error 
2021-12-17T19:07:13-06:00,Recieved connect error 
2021-12-17T19:07:25-06:00,Recieved connect error 
2021-12-17T19:07:37-06:00,Recieved connect error 
2021-12-17T19:07:51-06:00,Recieved connect error 
2021-12-17T19:14:57-06:00,Connected to server
2021-12-17T19:14:58-06:00,Node name: DPM RS232
2021-12-17T19:14:58-06:00,Node name: DPM RS485
2021-12-17T19:14:58-06:00,Node name: DPM Ethernet
2021-12-17T19:14:58-06:00,Node name: DPM Ethernet RS485 Slave 1
2021-12-17T19:14:58-06:00,Node name: DPM Ethernet RS485 Slave 2
2021-12-17T19:14:58-06:00,Node name: Transmitter1 RS232
2021-12-17T19:14:58-06:00,Node name: Echo 1
2021-12-17T19:14:58-06:00,Node name: Transmitter3 Ethernet
2021-12-17T19:14:58-06:00,Disconnected from server 
2021-12-17T19:14:58-06:00,Disconnected from server 
2021-12-17T19:15:23-06:00,Connected to server
2021-12-17T19:15:23-06:00,Node name: DPM RS232
2021-12-17T19:15:23-06:00,Node name: DPM RS485
2021-12-17T19:15:23-06:00,Node name: DPM Ethernet
2021-12-17T19:15:23-06:00,Node name: DPM Ethernet RS485 Slave 1
2021-12-17T19:15:23-06:00,Node name: DPM Ethernet RS485 Slave 2
2021-12-17T19:15:23-06:00,Node name: Transmitter1 RS232
2021-12-17T19:15:23-06:00,Node name: Echo 1
2021-12-17T19:15:23-06:00,Node name: Transmitter3 Ethernet
2021-12-17T19:15:23-06:00,Disconnected from server 
2021-12-17T19:15:23-06:00,Disconnected from server 
2021-12-17T19:15:50-06:00,Connected to server
2021-12-17T19:15:50-06:00,Node name: DPM RS232
2021-12-17T19:15:50-06:00,Node name: DPM RS485
2021-12-17T19:15:50-06:00,Node name: DPM Ethernet
2021-12-17T19:15:50-06:00,Node name: DPM Ethernet RS485 Slave 1
2021-12-17T19:15:50-06:00,Node name: DPM Ethernet RS485 Slave 2
2021-12-17T19:15:50-06:00,Node name: Transmitter1 RS232
2021-12-17T19:15:50-06:00,Node name: Echo 1
2021-12-17T19:15:50-06:00,Node name: Transmitter3 Ethernet
2021-12-17T19:15:50-06:00,Disconnected from server 
2021-12-17T19:15:50-06:00,Disconnected from server 
2021-12-17T19:16:18-06:00,Connected to server
2021-12-17T19:16:18-06:00,Node name: DPM RS232
2021-12-17T19:16:18-06:00,Node name: DPM RS485
2021-12-17T19:16:18-06:00,Node name: DPM Ethernet
2021-12-17T19:16:18-06:00,Node name: DPM Ethernet RS485 Slave 1
2021-12-17T19:16:18-06:00,Node name: DPM Ethernet RS485 Slave 2
2021-12-17T19:16:18-06:00,Node name: Transmitter1 RS232
